Txn Hash,Method,Block Number,Value,Txn Fee
0x982217e35facc2b7108fb9bab2b5d6125f43cf94bd56e623c0ce2a08989f3a98,Transfer,19305028,0.020213293 ETH,0.0010569
0x93c97942eabcaf94b3bf3617a201efc3fe0f2423f58f825c2240e87204ba6dcc,Transfer,19305028,0.0129953 ETH,0.00078973
0xb07dceba2d49664c94c2feebf01e1443638cd815a86d78cdca15ad65c9436ea7,Transfer,19305028,0.05075084 ETH,0.00078973
0xff905302205dc5f23bd91f7814a8c325140a899ce9af96b39b0c9621b9362639,Multiplex Multi ...,19305028,0 ETH,0.00718348
0x3fca15298dc70734c5d9bf6e98604b801a77eb7f6a7ae1461d9f169bd23e64cf,Register Continu...,19305028,0 ETH,0.0019096
0x70370ff841cc5936daa8a308857b15acbc045970f555c60187157bb416db4b2c,Transfer,19305028,0.01 ETH,0.00074983
0x504f8107d7a6726bcf474034311ff0678c307499131bd9127c8a95712ae9e6f2,Transfer,19305028,0.01372 ETH,0.00074983
0xaaa39eb82643a92a074ae2073bbf2d8888782bc741007db30d11770274630201,Direct Release,19305028,0 ETH,0.00237886
0x0ac7d4ec85bd9bf6bda42ebacf48feb1100d6de88056a9d0e8c4c04f81ec13b6,Direct Release,19305028,0 ETH,0.0023323
0xce976bccfdfdd01e3871a39d706afe4f6d1612232ef89549239d41173cad9504,Transfer,19305028,0 ETH,0.00237705
0x524d12ff5c38c68b049de1d47d5eb16534e8b61a9ca1f2164083788c9300468a,Transfer,19305028,0 ETH,0.00173353
0x77b228359071222d039cff0d87cf38df8a781f0a3d818290075c1fd221c40cc4,Transfer,19305028,0 ETH,0.00240335
0x069e1f5becf1202b3242d94bcae413b4685ba0ada0ef3cc7f3ef781e4993fcb3,Transfer,19305028,0.196576 ETH,0.00076873
0x2ff4e362e7bde9af7c14b17c209a1328575174037af4ecf22da6a7125b6b1b75,Transfer,19305028,1.26873 ETH,0.00076873
0xc074de0cbe03b3517b3e8e2a1a334a6db077c21aa1150d9b33f01791faf71779,Transfer,19305028,0.00999 ETH,0.00076873
0xe15ffd1aaaecf0f8a53643f6c33f0f06dcbddbe33482915f0303725260f93627,Transfer,19305028,0.361688625 ETH,0.00074775
0x281517493c8a134867e5ef24ff3b762ddf4cfa8ff4432ad10bcfc768c0cb9622,Sell To Uniswap,19305028,0 ETH,0.0062348
0xb52df26e7182f1980a8cb73e2ae34e554f9b14c3f46a9552dc74f48fa22dc5a1,Sell Eth For Tok...,19305028,0.016440392 ETH,0.00476945
0xba64fd9b12f1df4905d6657cbc6957c0abcfa072c2127265ee91830a90d394cc,Fill Otc Order W...,19305028,0.14467545 ETH,0.00319689
0x13d60f51c2ed54ec6044c470a1889c8dea48c763889874f3559e22d3935968cd,0x415565b0,19305028,0.005991268 ETH,0.00972153
0xd4034ba687bd3ff165fb1ab3b7193201e502d8cfba770edad71a08d7e0c0000b,Approve,19305028,0 ETH,0.00168041
0x49e92b61b3110b4736db534fe5c16ad278bc7befc3842cdc0cc8f2772508bf02,Sell Eth For Tok...,19305028,1.487526674 ETH,0.0047436
0x917c527623aac4f96ccd6794478de29f73f02a9f756e711013c1c8023080f8c5,Sell To Uniswap,19305028,0.016440392 ETH,0.00492032
0x8d284342bb799875334d651d3e87bf0bc7e2eacddc967650ea575704713e91a4,Approve,19305028,0 ETH,0.00164616
0x21bc83ac709e5a3101010a8fab0048b20c8a5c6af2b4be0446be85e14effc184,Commit Batch,19305028,0 ETH,0.04393094
